Price,SMA20,SMA50,RSI,MACD,MACD_Signal
Ticker,,,,,
Date,,,,,
2023-04-21,161.61262054443358,154.79846008300783,58.616346718491975,2.869896750500459,3.038160271458602
2023-04-24,161.86375579833984,155.08894622802734,59.23703432648241,2.7131339094376017,2.973154999054402
2023-04-25,162.1351577758789,155.34126708984374,54.78389292587965,2.436354325891841,2.86579486442189
2023-04-26,162.4372100830078,155.53723114013673,54.755387997384545,2.1909483066907,2.730825552875652
2023-04-27,162.81489944458008,155.8379992675781,64.08429167176686,2.340467859443919,2.652754014189306
2023-04-28,163.1767707824707,156.12176177978515,66.13787562399241,2.5311087173248836,2.628424954816422
2023-05-01,163.40862579345702,156.43577941894532,65.85056107851942,2.6445290280807683,2.631645769469291
2023-05-02,163.52578887939453,156.75197174072267,62.442000789458085,2.6204376516280092,2.629404145901035
2023-05-03,163.61576080322266,157.1270916748047,59.02634700964339,2.485729913051358,2.6006692993310994
2023-05-04,163.71611709594725,157.4608837890625,54.16674757046666,2.220933846547638,2.5247222087744072
2023-05-05,164.156591796875,157.93883117675782,67.6212904166982,2.6017891737853347,2.5401356017765933
2023-05-08,164.72362060546874,158.46858642578124,67.42944199465069,2.8650075292493966,2.6051099872711543
2023-05-09,165.26593322753905,158.94020568847657,62.69653256073875,2.9021357693192726,2.664515143680778
2023-05-10,165.93133926391602,159.45730590820312,65.40246128399099,3.0393319548620923,2.7394785059170412
2023-05-11,166.33622055053712,160.01968933105468,65.68702028005376,3.1271732778170076,2.8170174602970346
2023-05-12,166.71187057495118,160.55159454345704,62.926027012366056,3.0861140825439293,2.870836784746414
2023-05-15,167.06177673339843,160.97235382080078,61.44652661798293,2.979284147227986,2.8925262572427286
2023-05-16,167.35038223266602,161.33774444580078,61.44652661798293,2.861633523863901,2.8863477105669633
2023-05-17,167.61233444213866,161.75950897216796,62.70742856223612,2.7858136594333587,2.8662409003402423
2023-05-18,168.03956680297853,162.20289306640626,67.11616826044252,2.8810608352683573,2.869204887325865
2023-05-19,168.552823638916,162.69354064941408,67.31013925270611,2.931539426107804,2.8816717950822532
2023-05-22,169.00323181152345,163.20650695800782,63.774285750035375,2.86185813935748,2.877709063937299
2023-05-23,169.40006942749022,163.62824127197266,55.18855944149097,2.5661412874285645,2.815395508635552
2023-05-24,169.81126403808594,164.0135986328125,55.867184740375194,2.3273250697678236,2.717781420862006
2023-05-25,170.04951019287108,164.41381744384765,58.6377733073344,2.204524261032134,2.6151299888960318
2023-05-26,170.34576339721679,164.80579864501954,63.826702819436164,2.275904784833614,2.547284948083548
2023-05-30,170.73903732299806,165.25161651611327,67.22064621484104,2.4535867134299565,2.5285453011528296
2023-05-31,171.18174591064454,165.64898651123048,67.03965550116442,2.5608888549523385,2.5350140119127316
2023-06-01,171.81892929077148,166.06541656494142,71.70329721805874,2.8400765477686605,2.5960265190839173
